realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;56533903.05;9.970862891e-10;4.565308788e+15
0;1e-07;17.13724683;18.15200128;14.68590778;56499802.11;9.956632946e-10;4.571676455e+15
0;2e-07;67.6099866;71.0086021;57.61537471;55030997.06;9.960818167e-10;4.571386362e+15
0;3e-07;145.3459855;150.4101902;121.3988799;50600717.54;9.974488958e-10;4.561631159e+15
0;4e-07;235.7491186;241.2769333;193.3689477;44548471.14;9.933213526e-10;4.592170934e+15
0;5e-07;323.5751966;331.3299358;263.9797372;38753120.75;1.000971116e-09;4.525344149e+15
0;6e-07;403.7556382;416.0343153;329.0380793;34339034.85;1.002809204e-09;4.486748083e+15
0;7e-07;475.6411563;494.8412696;388.1395821;30873807.25;1.008493103e-09;4.451320825e+15
0;8e-07;538.8982912;566.8328507;441.6114066;28438678.24;1.012256419e-09;4.431975433e+15
0;9e-07;595.1463879;631.2546216;488.4970721;26372885.51;1.0152543e-09;4.453485863e+15
0;1e-06;644.4115639;688.7731538;528.1917807;23852140.82;1.009072645e-09;4.46378661e+15
0;1.1e-06;686.0165848;738.6823854;561.5201672;21836813.82;1.008451529e-09;4.478106573e+15
0;1.2e-06;719.0931192;779.045171;588.5245539;20056334.29;1.013967879e-09;4.46562809e+15
0;1.3e-06;743.1768007;809.398173;609.0137016;18514165.08;1.012724428e-09;4.430299445e+15
0;1.4e-06;759.9737943;829.8235198;622.8836064;17793278.78;1.017892161e-09;4.414383932e+15
0;1.5e-06;770.3635004;840.450079;628.7001485;17925243.27;1.026920022e-09;4.381540664e+15
0;1.6e-06;773.4492208;840.510083;627.60173;18582600.41;1.047865606e-09;4.302747996e+15
0;1.7e-06;770.1003919;831.9683257;621.2313797;19586350.68;1.048674141e-09;4.268895541e+15
0;1.8e-06;762.127603;817.8634283;609.9435587;21685038.21;1.050152229e-09;4.239988463e+15
0;1.9e-06;750.3207269;799.9950172;595.9691818;24164952.52;1.062324241e-09;4.222077193e+15
0;2e-06;734.8438727;778.974882;581.0657358;25310863.4;1.060201605e-09;4.268134791e+15
0;2.1e-06;716.2275106;754.2764774;565.5211933;26313074.87;1.059249098e-09;4.29872948e+15
0;2.2e-06;696.2947043;726.0666629;549.819813;27288757.59;1.05364751e-09;4.315682184e+15
0;2.3e-06;675.2396683;695.4865684;535.1635177;28681479.43;1.054259802e-09;4.279737852e+15
0;2.4e-06;654.1037624;664.7775093;521.8604194;30106788.24;1.062034493e-09;4.185643431e+15
0;2.5e-06;634.322159;634.5769197;509.8988537;31467953.91;1.064153087e-09;4.180038774e+15
0;2.6e-06;617.3167941;606.5146828;500.9551047;32942101.92;1.068055634e-09;4.206312755e+15
0;2.7e-06;604.674147;584.5504163;496.4893193;34274348.47;1.074999635e-09;4.229926139e+15
0;2.8e-06;596.8078348;572.3812027;497.5621722;34722251.75;1.096304939e-09;4.132261277e+15
0;2.9e-06;594.9030396;567.7865516;504.1741005;35198435.09;1.100233833e-09;4.091640123e+15
0;3e-06;598.4174918;570.7796524;516.4546552;35351854.94;1.100870902e-09;4.07881717e+15
0;3.1e-06;607.9861238;583.2541982;532.5258163;35695499.68;1.113199243e-09;4.069871878e+15
